Date,Q5_minus_Q1
2019-01-31,0.018951186261155085
2019-02-28,0.009450339191164683
2019-03-31,-0.002745655430128946
2019-04-30,0.009489987821187342
2019-05-31,-0.00488181544184544
2019-06-30,-0.008823611672194961
2019-07-31,0.0031812333219957273
2019-08-31,0.006046034702126765
2019-09-30,-0.004582007564211191
2019-10-31,-0.005994233560745878
2019-11-30,-0.005381078112528883
2019-12-31,-0.002170078929471006
2020-01-31,0.011676472573075998
2020-02-29,0.00047583438573440846
2020-03-31,-0.002802442512125969
2020-04-30,-0.004413401055109491
2020-05-31,0.005355598440464612
2020-06-30,0.009837452286314493
2020-07-31,-0.002806664275047662
2020-08-31,0.005831668858857619
2020-09-30,0.008432878784557181
2020-10-31,-0.008774397258933583
2020-11-30,-0.0012534891226849108
2020-12-31,-0.004387744384113719
2021-01-31,0.0017638757081011036
2021-02-28,0.001280013656659005
2021-03-31,-0.025559835552201163
2021-04-30,0.005078242499330702
2021-05-31,0.0010976084899956828
2021-06-30,0.006271053944838546
2021-07-31,-0.0020568757159841883
2021-08-31,0.006022351111892137
2021-09-30,0.005365006161143302
2021-10-31,-0.010779169554183121
2021-11-30,-0.009180395851203976
2021-12-31,0.007688605167399876
2022-01-31,-0.0050166170448940894
2022-02-28,0.00602065421959469
2022-03-31,-0.004987506149898485
2022-04-30,-0.003293471902183105
2022-05-31,-0.005026961795160104
2022-06-30,-0.0026676414116272792
2022-07-31,-0.0011081183482247875
2022-08-31,-0.0008406850482797594
2022-09-30,-0.013201339181764304
2022-10-31,0.020518748581715936
2022-11-30,0.0013878176417529975
2022-12-31,0.016726367911970047
2023-01-31,0.010731990646145544
2023-02-28,0.006931977201353856
2023-03-31,0.005984182241006162
2023-04-30,-0.008157686249001823
2023-05-31,0.011207281598435728
2023-06-30,-0.01097999779379433
2023-07-31,-0.0037351023492796093
2023-08-31,-0.0122675741069108
2023-09-30,-0.0012565112129399453
2023-10-31,0.0020624791503859666
2023-11-30,0.013364981532399857
2023-12-31,0.004447822662849377
